w,gap
0.04,2.25
0.09,-2.27
0.00,3.61
0.23,-1.15
0.00,5.24
0.00,7.92
0.24,-1.00
0.05,3.14
0.05,3.26
0.00,5.48
0.04,1.06
0.04,3.85
0.20,1.84
0.02,4.15
0.38,-0.91
0.00,6.94
0.05,-0.71
0.34,-1.02
0.11,-1.18
0.00,6.60
0.01,5.67
0.09,3.40
0.00,4.00
0.03,5.08
0.31,-0.66
0.00,24.64
0.00,1.79
0.01,1.09
0.21,1.02
0.01,0.77
0.31,-0.96
0.00,5.55
0.03,5.02
0.29,-1.13
0.01,10.66
0.27,-1.14
0.09,3.69
0.58,1.43
0.17,1.00
0.00,1.40
0.00,6.77
0.11,-0.93
0.02,0.62
0.00,9.40
0.40,-0.88
0.59,-0.53
0.49,-0.69
0.03,6.34
0.04,0.63
0.08,13.57
0.06,7.65
0.26,-1.31
0.54,-0.62
0.00,1.75
0.02,5.13
0.05,2.41
0.07,2.10
0.02,5.59
0.13,-1.23
0.02,2.21
0.20,-1.37
0.01,1.34
0.23,-1.17
0.05,3.48
0.00,2.95
0.12,2.64
0.02,0.81
0.07,1.49
0.39,-0.94
0.02,2.89
0.46,-0.77
0.12,0.66
0.16,-0.98
0.04,3.17
0.16,-1.30
0.20,-1.59
0.06,-0.67
0.07,-0.66
0.02,2.14
0.02,3.55
0.01,7.94
0.03,3.50
0.02,5.60
0.06,3.65
0.00,1.68
0.02,11.50
0.28,-0.72
0.11,-2.23
0.23,-0.86
0.05,3.87
0.00,2.13
0.00,5.97
0.01,7.67
0.23,-1.25
0.00,3.93
0.00,7.33
0.02,1.93
0.14,-1.85
0.01,1.62
0.01,4.61
0.00,3.31
0.41,-0.89
0.00,1.64
0.41,-0.90
0.00,8.87
0.04,3.43
0.72,1.14
0.00,2.62
0.48,-0.72
0.11,2.27
0.23,-1.32
0.05,2.68
0.34,-1.03
0.85,0.63
0.00,3.67
0.04,1.18
0.00,1.68
0.05,1.89
0.02,3.33
0.33,-0.90
0.04,3.68
0.04,5.48
0.12,1.24
0.00,7.62
0.02,2.06
0.05,7.56
0.08,5.23
0.07,6.89
0.16,-1.85
0.02,4.21
0.00,12.07
0.35,-0.71
0.45,-0.79
0.02,6.19
0.13,1.26
0.08,1.00
0.25,-0.89
0.11,-2.05
0.02,5.31
0.06,2.54
0.01,2.51
0.00,5.95
0.03,0.62
0.04,5.74
0.00,5.90
0.01,7.66
0.36,-0.98
0.27,-1.00
0.00,6.93
0.00,0.88
0.00,3.19
0.13,-0.51
0.05,5.79
0.00,1.36
0.55,-0.59
0.03,4.02
0.01,4.65
0.28,-0.88
0.20,1.89
0.00,4.67
0.48,0.92
0.21,-0.77
0.00,9.57
0.00,2.72
0.07,3.34
0.00,3.02
0.27,-1.26
0.02,6.65
0.06,1.35
0.06,-0.57
0.37,-1.01
0.41,-0.55
0.03,3.17
0.00,0.71
0.02,4.33
0.17,-1.63
0.02,0.67
0.32,-1.07
0.00,2.82
0.41,-0.67
0.17,-1.66
0.45,-0.75
0.07,3.62
0.44,-0.76
0.08,3.70
0.58,-0.54
0.02,3.02
0.00,2.07
0.29,-0.98
0.00,6.36
0.05,4.37
0.09,2.61
0.01,1.21
0.09,5.84
0.30,-0.88
0.82,0.51
0.26,-1.19
0.14,1.27
0.10,2.51
0.00,2.30
0.00,0.78
0.87,0.63
0.00,8.11
0.11,-1.05
0.55,-0.58
0.07,2.38
0.20,-0.74
0.03,3.27
0.31,-1.14
0.18,-1.62
0.00,1.57
0.09,0.72
0.04,4.12
0.00,7.80
0.11,0.59
0.00,2.07
0.02,5.31
0.41,-0.56
0.37,-1.00
0.03,3.12
0.04,6.13
0.00,1.54
0.54,-0.62
0.00,4.03
0.10,0.82
0.35,-0.83
0.27,-0.96
0.05,3.69
0.19,0.66
0.22,-1.09
0.38,-0.79
0.02,7.64
0.01,6.70
0.03,3.55
0.03,4.46
0.14,3.19
0.00,1.90
0.12,3.61
0.26,-1.33
0.11,-2.10
0.03,2.20
0.09,1.86
0.02,5.24
0.79,0.83
0.03,2.84
0.05,3.16
0.08,2.46
0.23,-0.84
0.01,1.52
0.05,0.69
0.30,-0.89
0.30,-0.81
0.00,7.75
0.02,3.84
0.01,2.89
0.91,1.23
0.01,1.67
0.00,1.03
0.18,-1.11
0.12,1.93
0.16,-0.51
0.03,-0.62
0.17,-1.75
0.02,0.80
0.30,-0.52
0.34,-0.73
0.01,1.91
0.40,-0.54
0.04,4.88
0.00,9.06
0.05,1.00
0.02,4.69
0.07,3.13
0.08,2.79
0.16,-1.14
0.04,1.18
0.00,2.43
0.04,1.16
0.07,2.95
0.00,1.95
0.34,-1.07
0.06,6.83
0.18,1.87
0.54,-0.59
0.38,-0.98
0.01,2.35
0.22,-1.32
0.06,1.98
0.45,-0.71
0.14,-1.89
0.00,6.76
0.18,0.68
0.50,0.75
0.45,-0.80
0.13,-1.29
0.00,2.92
0.51,-0.65
0.00,10.96
0.00,3.06
0.39,-0.93
0.00,3.97
0.14,-1.88
0.35,-0.98
0.11,1.43
0.00,10.58
0.54,-0.55
0.00,13.70
0.00,2.21
0.09,5.70
0.02,3.20
0.00,8.57
0.00,3.02
0.07,3.47
0.11,4.29
0.00,2.65
0.03,3.72
0.03,1.54
0.30,-1.01
0.11,-2.22
0.03,4.52
0.14,5.03
0.05,1.75
0.27,0.62
0.03,2.96
0.25,0.51
0.00,0.53
0.03,1.79
0.89,0.61
0.97,1.07
0.02,8.75
0.05,4.58
0.53,-0.62
0.15,-1.76
0.13,-1.65
0.04,4.85
0.05,2.27
0.05,9.41
0.06,3.04
0.09,3.01
0.03,3.93
0.00,4.82
0.00,2.12
0.09,4.39
0.27,-0.75
0.39,-0.59
0.12,-1.28
0.39,-0.75
0.03,2.21
0.18,-1.71
0.00,0.56
0.36,-1.03
0.00,11.57
0.32,-0.85
0.19,-1.34
0.06,6.09
0.19,2.27
0.05,6.47
0.04,1.38
0.60,-0.50
0.05,5.06
0.06,2.54
0.18,-1.65
0.31,-0.53
0.29,-1.23
0.00,3.51
0.55,-0.51
0.11,5.74
0.26,0.57
0.01,3.09
0.03,4.79
0.04,3.74
0.01,1.42
0.09,4.71
0.01,1.05
0.09,2.22
0.16,2.75
0.26,-0.89
0.07,4.56
0.02,1.44
0.01,1.27
0.68,0.68
0.16,-0.64
0.34,-0.57
0.32,-1.12
0.21,-0.79
0.59,-0.51
0.93,0.58
0.00,1.65
0.03,5.83
0.18,-1.05
0.02,2.78
0.15,6.05
0.02,5.10
0.00,14.75
0.43,-0.74
0.01,9.31
0.13,0.80
0.09,1.28
0.21,0.63
0.09,-1.99
0.00,2.20
0.12,-1.83
0.04,0.77
0.01,3.28
0.00,3.60
0.00,3.58
0.06,4.67
0.39,-0.70
0.25,-1.13
0.01,15.05
0.54,-0.57
0.14,3.66
0.00,9.16
0.00,3.11
0.00,8.04
0.01,3.12
0.00,4.04
0.28,1.01
0.07,-2.44
0.03,1.30
0.05,11.61
0.08,-2.46
0.03,2.27
0.38,-0.65
0.03,5.24
0.05,1.57
